root_count_R	procedure_order	procedure_id	procedure_label	visual_group	visual_group_label	events	trials	estimate	interval_lower	interval_upper	interval_method	invalid_descendant_replicate	evidence_authority	interpretation	source_record_id	upstream_sha256
4	1	EXACT_ROOT_SIGN_HOLM	Exact unit sign	EXPERIMENTAL_UNIT_PROCEDURE	Experimental-unit procedures	0	2500	0	0	0.001474463690359561	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	false	VALID_SIGN_INFERENCE_CHARACTERIZATION_NOT_A_QUALIFICATION_RECEIPT	SIGN_FWER_CHARACTERIZATION_ONLY_NOT_QUALIFICATION	LOWN_R04_C02:EXACT_ROOT_SIGN_HOLM	7ab0d761e7c87b6527967b0a2fadb78cde0381be31850513c21c479b06193145
4	2	ROOT_CR1_T_MEAN_CONTRAST_HOLM	Unit CR1-t mean	EXPERIMENTAL_UNIT_PROCEDURE	Experimental-unit procedures	110	2500	0.043999999999999997	0.036299020289821515	0.052790529916293863	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	false	DESCRIPTIVE_ROOT_MEAN_COMPARATOR	ROOT_MEAN_FAMILY_ERROR_NOT_SIGN_FWER_CHARACTERIZATION_ONLY	LOWN_R04_C02:ROOT_CR1_T_MEAN_CONTRAST_HOLM	7ab0d761e7c87b6527967b0a2fadb78cde0381be31850513c21c479b06193145
4	3	ROOT_NONPARAMETRIC_BOOTSTRAP_MEAN_CONTRAST_HOLM	Whole-unit bootstrap	WHOLE_UNIT_BOOTSTRAP_COMPARATOR	Whole-unit bootstrap comparator	1339	2500	0.53559999999999997	0.51581802317225645	0.55529848217879541	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	false	DESCRIPTIVE_ROOT_MEAN_COMPARATOR	ROOT_MEAN_FAMILY_ERROR_NOT_SIGN_FWER_CHARACTERIZATION_ONLY	LOWN_R04_C02:ROOT_NONPARAMETRIC_BOOTSTRAP_MEAN_CONTRAST_HOLM	7ab0d761e7c87b6527967b0a2fadb78cde0381be31850513c21c479b06193145
4	4	TASK_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	Tasks as replicates (invalid)	INVALID_DESCENDANT_REPLICATE_ANALYSIS	Invalid descendant-replicate analyses	2196	2500	0.87839999999999996	0.8649439230979592	0.89096243747671233	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	true	NEGATIVE_CONTROL_NO_VALID_INFERENCE	DESCRIPTIVE_ANY_NULL_REJECTION_BEHAVIOR_NOT_VALID_FWER	LOWN_R04_C02:TASK_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	7ab0d761e7c87b6527967b0a2fadb78cde0381be31850513c21c479b06193145
4	5	CELL_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	Cells as replicates (invalid)	INVALID_DESCENDANT_REPLICATE_ANALYSIS	Invalid descendant-replicate analyses	2484	2500	0.99360000000000004	0.98962755542799574	0.99633755306544591	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	true	NEGATIVE_CONTROL_NO_VALID_INFERENCE	DESCRIPTIVE_ANY_NULL_REJECTION_BEHAVIOR_NOT_VALID_FWER	LOWN_R04_C02:CELL_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	7ab0d761e7c87b6527967b0a2fadb78cde0381be31850513c21c479b06193145
6	1	EXACT_ROOT_SIGN_HOLM	Exact unit sign	EXPERIMENTAL_UNIT_PROCEDURE	Experimental-unit procedures	0	2500	0	0	0.001474463690359561	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	false	VALID_SIGN_INFERENCE_CHARACTERIZATION_NOT_A_QUALIFICATION_RECEIPT	SIGN_FWER_CHARACTERIZATION_ONLY_NOT_QUALIFICATION	LOWN_R06_C02:EXACT_ROOT_SIGN_HOLM	f1f6585bc783bf2e09b524583b47d945c7c95d9a420b14e5e453972bc6b76873
6	2	ROOT_CR1_T_MEAN_CONTRAST_HOLM	Unit CR1-t mean	EXPERIMENTAL_UNIT_PROCEDURE	Experimental-unit procedures	122	2500	0.048800000000000003	0.040687486917935944	0.057988988789655214	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	false	DESCRIPTIVE_ROOT_MEAN_COMPARATOR	ROOT_MEAN_FAMILY_ERROR_NOT_SIGN_FWER_CHARACTERIZATION_ONLY	LOWN_R06_C02:ROOT_CR1_T_MEAN_CONTRAST_HOLM	f1f6585bc783bf2e09b524583b47d945c7c95d9a420b14e5e453972bc6b76873
6	3	ROOT_NONPARAMETRIC_BOOTSTRAP_MEAN_CONTRAST_HOLM	Whole-unit bootstrap	WHOLE_UNIT_BOOTSTRAP_COMPARATOR	Whole-unit bootstrap comparator	759	2500	0.30359999999999998	0.28561437629672182	0.32204676721572972	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	false	DESCRIPTIVE_ROOT_MEAN_COMPARATOR	ROOT_MEAN_FAMILY_ERROR_NOT_SIGN_FWER_CHARACTERIZATION_ONLY	LOWN_R06_C02:ROOT_NONPARAMETRIC_BOOTSTRAP_MEAN_CONTRAST_HOLM	f1f6585bc783bf2e09b524583b47d945c7c95d9a420b14e5e453972bc6b76873
6	4	TASK_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	Tasks as replicates (invalid)	INVALID_DESCENDANT_REPLICATE_ANALYSIS	Invalid descendant-replicate analyses	2087	2500	0.83479999999999999	0.8196527360310808	0.84915848252910009	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	true	NEGATIVE_CONTROL_NO_VALID_INFERENCE	DESCRIPTIVE_ANY_NULL_REJECTION_BEHAVIOR_NOT_VALID_FWER	LOWN_R06_C02:TASK_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	f1f6585bc783bf2e09b524583b47d945c7c95d9a420b14e5e453972bc6b76873
6	5	CELL_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	Cells as replicates (invalid)	INVALID_DESCENDANT_REPLICATE_ANALYSIS	Invalid descendant-replicate analyses	2478	2500	0.99119999999999997	0.98670684403300046	0.99447710532849132	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	true	NEGATIVE_CONTROL_NO_VALID_INFERENCE	DESCRIPTIVE_ANY_NULL_REJECTION_BEHAVIOR_NOT_VALID_FWER	LOWN_R06_C02:CELL_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	f1f6585bc783bf2e09b524583b47d945c7c95d9a420b14e5e453972bc6b76873
