condition	kind	gene_a	gene_b	n_cells	gemgroup_1_n_cells	gemgroup_2_n_cells	gemgroup_3_n_cells	gemgroup_4_n_cells	gemgroup_5_n_cells	gemgroup_6_n_cells	gemgroup_7_n_cells	gemgroup_8_n_cells	single_a_n_cells	single_b_n_cells	minimum_gemgroup_cells
CBL+UBASH3A	double	CBL	UBASH3A	48	8	5	2	7	3	6	9	8	522	671	2
CBL+UBASH3B	double	CBL	UBASH3B	311	38	40	45	31	46	35	44	32	522	968	31
CDKN1A+CDKN1B	double	CDKN1A	CDKN1B	98	12	9	14	6	8	13	18	18	274	406	6
CDKN1A+CDKN1C	double	CDKN1A	CDKN1C	80	7	17	9	6	14	9	8	10	274	164	6
CDKN1B+CDKN1C	double	CDKN1B	CDKN1C	78	14	4	11	11	12	5	6	15	406	164	4
CEBPA+CEBPB	double	CEBPA	CEBPB	50	8	6	8	3	8	8	3	6	387	402	3
CEBPA+CEBPE	double	CEBPA	CEBPE	141	15	18	21	15	16	19	16	21	387	1009	15
CEBPA+JUN	double	CEBPA	JUN	49	4	6	2	9	6	3	9	10	387	231	2
CEBPA+KLF1	double	CEBPA	KLF1	267	32	33	34	40	29	33	34	32	387	1629	29
CEBPA+ZC3HAV1	double	CEBPA	ZC3HAV1	81	10	6	14	17	8	7	6	13	387	432	6
CEBPB+CEBPE	double	CEBPB	CEBPE	90	16	10	7	9	13	9	9	17	402	1009	7
CEBPB+FOSB	double	CEBPB	FOSB	65	10	7	6	6	12	8	7	9	402	498	6
CEBPB+JUN	double	CEBPB	JUN	46	5	6	8	6	4	7	7	3	402	231	3
CEBPB+LYL1	double	CEBPB	LYL1	156	15	16	22	23	19	21	20	20	402	353	15
CEBPB+MAPK1	double	CEBPB	MAPK1	331	39	31	41	40	48	50	36	46	402	648	31
CEBPB+OSR2	double	CEBPB	OSR2	185	25	25	23	25	12	31	16	28	402	833	12
CEBPB+PTPN12	double	CEBPB	PTPN12	262	29	35	26	38	35	40	31	28	402	353	26
CEBPE+CNN1	double	CEBPE	CNN1	190	26	32	22	21	20	23	21	25	1009	624	20
CEBPE+ETS2	double	CEBPE	ETS2	313	41	35	47	40	30	29	48	43	1009	1010	29
CEBPE+FOSB	double	CEBPE	FOSB	124	20	13	15	11	7	21	21	16	1009	498	7
CEBPE+KLF1	double	CEBPE	KLF1	381	53	50	46	38	55	47	50	42	1009	1629	38
CEBPE+PTPN12	double	CEBPE	PTPN12	309	46	33	45	45	41	28	34	37	1009	353	28
CEBPE+RUNX1T1	double	CEBPE	RUNX1T1	1005	121	128	122	142	123	103	132	134	1009	624	103
CEBPE+SET	double	CEBPE	SET	519	63	58	74	66	69	61	69	59	1009	777	58
CEBPE+SPI1	double	CEBPE	SPI1	149	10	18	21	16	21	22	18	23	1009	488	10
CEBPE+ZC3HAV1	double	CEBPE	ZC3HAV1	340	36	36	48	42	46	45	39	48	1009	432	36
CLDN6+KLF1	double	CLDN6	KLF1	208	25	24	26	25	31	25	28	24	529	1629	24
CNN1+ETS2	double	CNN1	ETS2	769	91	100	106	96	88	102	99	87	624	1010	87
CNN1+MAPK1	double	CNN1	MAPK1	312	45	44	38	35	37	41	27	45	624	648	27
CNN1+UBASH3A	double	CNN1	UBASH3A	137	19	15	18	12	14	18	22	19	624	671	12
CNN1+UBASH3B	double	CNN1	UBASH3B	341	53	50	44	43	45	41	33	32	624	968	32
COL2A1+KLF1	double	COL2A1	KLF1	247	34	26	29	38	27	29	31	33	468	1629	26
DLX2+SNAI1	double	DLX2	SNAI1	98	12	7	8	23	16	9	9	14	595	372	7
DLX2+ZBTB10	double	DLX2	ZBTB10	73	6	13	12	9	7	7	11	8	595	134	6
DUSP9+ETS2	double	DUSP9	ETS2	680	94	95	84	78	96	75	83	75	645	1010	75
DUSP9+IGDCC3	double	DUSP9	IGDCC3	314	37	38	37	49	35	43	36	39	645	498	35
DUSP9+KLF1	double	DUSP9	KLF1	314	57	36	34	38	35	37	47	30	645	1629	30
DUSP9+MAPK1	double	DUSP9	MAPK1	244	34	29	32	27	30	32	28	32	645	648	27
DUSP9+PRTG	double	DUSP9	PRTG	236	32	17	49	36	28	24	22	28	645	579	17
DUSP9+SNAI1	double	DUSP9	SNAI1	158	17	20	21	19	18	17	23	23	645	372	17
ELMSAN1+LHX1	double	ELMSAN1	LHX1	536	76	70	61	56	65	83	61	64	769	337	56
ELMSAN1+MAP2K3	double	ELMSAN1	MAP2K3	476	58	68	52	65	59	47	61	66	769	450	47
ELMSAN1+MAP2K6	double	ELMSAN1	MAP2K6	360	53	46	49	36	37	53	52	34	769	730	34
ELMSAN1+ZBTB10	double	ELMSAN1	ZBTB10	151	18	16	19	19	19	17	20	23	769	134	16
ETS2+IGDCC3	double	ETS2	IGDCC3	361	58	36	46	38	57	36	48	42	1010	498	36
ETS2+IKZF3	double	ETS2	IKZF3	381	40	48	51	49	50	39	55	49	1010	556	39
ETS2+MAP7D1	double	ETS2	MAP7D1	261	31	40	32	34	34	30	27	33	1010	630	27
ETS2+MAPK1	double	ETS2	MAPK1	411	45	52	60	49	46	57	53	49	1010	648	45
ETS2+PRTG	double	ETS2	PRTG	348	47	48	46	32	42	51	34	48	1010	579	32
ETS2+TGFBR2	double	ETS2	TGFBR2	271	35	28	30	37	25	44	29	43	1010	530	25
FEV+ISL2	double	FEV	ISL2	257	32	23	31	36	39	29	38	29	625	483	23
FEV+MAP7D1	double	FEV	MAP7D1	233	25	30	36	25	24	25	34	34	625	630	24
FOSB+IKZF3	double	FOSB	IKZF3	196	27	17	25	30	15	24	28	30	498	556	15
FOSB+OSR2	double	FOSB	OSR2	321	34	46	40	44	35	47	40	35	498	833	34
FOSB+PTPN12	double	FOSB	PTPN12	282	39	35	42	36	30	44	27	29	498	353	27
FOSB+UBASH3B	double	FOSB	UBASH3B	356	47	49	42	38	44	38	50	48	498	968	38
FOXA1+FOXA3	double	FOXA1	FOXA3	179	28	22	20	25	23	17	23	21	750	397	17
FOXA1+FOXF1	double	FOXA1	FOXF1	235	29	27	24	24	34	31	30	36	750	704	24
FOXA1+FOXL2	double	FOXA1	FOXL2	168	22	20	27	14	16	24	18	27	750	531	14
FOXA1+HOXB9	double	FOXA1	HOXB9	252	33	35	31	31	33	30	34	25	750	590	25
FOXA1+KLF1	double	FOXA1	KLF1	319	41	44	34	35	33	44	56	32	750	1629	32
FOXA3+FOXF1	double	FOXA3	FOXF1	142	15	15	19	25	12	20	17	19	397	704	12
FOXA3+FOXL2	double	FOXA3	FOXL2	97	15	12	9	17	7	19	11	7	397	531	7
FOXA3+HOXB9	double	FOXA3	HOXB9	279	30	46	35	35	43	33	27	30	397	590	27
FOXF1+FOXL2	double	FOXF1	FOXL2	162	26	29	22	14	17	16	21	17	704	531	14
FOXF1+HOXB9	double	FOXF1	HOXB9	166	27	21	18	23	16	28	10	23	704	590	10
FOXL2+HOXB9	double	FOXL2	HOXB9	80	12	11	15	6	10	10	8	8	531	590	6
FOXL2+MEIS1	double	FOXL2	MEIS1	171	16	23	19	18	28	22	23	22	531	674	16
FOXL2+POU3F2	double	FOXL2	POU3F2	270	42	28	34	34	38	30	25	39	531	310	25
FOXL2+ZNF318	double	FOXL2	ZNF318	194	32	23	32	14	16	26	27	24	531	536	14
HOXC13+ZC3HAV1	double	HOXC13	ZC3HAV1	531	69	84	67	45	59	66	68	73	327	432	45
IER5L+LYL1	double	IER5L	LYL1	521	83	50	62	75	69	73	46	63	322	353	46
IGDCC3+MAPK1	double	IGDCC3	MAPK1	284	40	32	32	25	41	50	36	28	498	648	25
IGDCC3+PRTG	double	IGDCC3	PRTG	107	17	10	10	17	12	11	12	18	498	579	10
IGDCC3+TGFBR2	double	IGDCC3	TGFBR2	258	29	31	36	41	34	42	20	25	498	530	20
IGDCC3+ZBTB25	double	IGDCC3	ZBTB25	98	19	13	14	6	5	16	11	14	498	583	5
IKZF3+MAP2K3	double	IKZF3	MAP2K3	217	26	28	30	24	29	24	24	32	556	450	24
IKZF3+MAP2K6	double	IKZF3	MAP2K6	248	39	27	38	22	23	31	32	36	556	730	22
IKZF3+MAPK1	double	IKZF3	MAPK1	254	44	26	27	33	32	26	35	31	556	648	26
IRF1+SET	double	IRF1	SET	362	63	38	61	37	35	40	43	45	326	777	35
KIF18B+KIF2C	double	KIF18B	KIF2C	79	16	4	11	9	4	9	12	14	207	510	4
KLF1+MAP2K6	double	KLF1	MAP2K6	217	37	28	30	22	22	21	30	27	1629	730	21
KLF1+SET	double	KLF1	SET	538	80	51	68	74	67	60	65	73	1629	777	51
KLF1+TGFBR2	double	KLF1	TGFBR2	258	41	28	32	34	20	30	33	40	1629	530	20
MAP2K3+MAP2K6	double	MAP2K3	MAP2K6	453	56	46	58	66	57	59	54	57	450	730	46
MAP2K3+SLC38A2	double	MAP2K3	SLC38A2	296	46	40	32	35	25	35	42	41	450	278	25
MAP2K6+SPI1	double	MAP2K6	SPI1	239	35	33	37	27	28	25	28	26	730	488	25
MAPK1+PRTG	double	MAPK1	PRTG	376	50	48	43	40	40	50	41	64	648	579	40
MAPK1+TGFBR2	double	MAPK1	TGFBR2	383	47	42	44	44	52	63	49	42	648	530	42
OSR2+PTPN12	double	OSR2	PTPN12	276	37	39	28	27	34	36	25	50	833	353	25
OSR2+UBASH3B	double	OSR2	UBASH3B	666	84	91	79	61	81	86	95	89	833	968	61
PLK4+STIL	double	PLK4	STIL	60	12	8	9	6	6	6	5	8	95	260	5
PRTG+TGFBR2	double	PRTG	TGFBR2	206	35	24	20	23	17	29	22	36	579	530	17
PTPN12+PTPN9	double	PTPN12	PTPN9	288	47	35	31	40	35	31	34	35	353	358	31
PTPN12+SAMD1	double	PTPN12	SAMD1	281	32	35	36	37	28	41	37	35	353	415	28
PTPN12+SNAI1	double	PTPN12	SNAI1	237	32	31	37	23	29	27	28	30	353	372	23
PTPN12+UBASH3A	double	PTPN12	UBASH3A	247	39	29	29	28	27	25	42	28	353	671	25
PTPN12+UBASH3B	double	PTPN12	UBASH3B	250	26	29	31	28	26	35	30	45	353	968	26
PTPN12+ZBTB10	double	PTPN12	ZBTB10	218	32	23	29	19	25	30	30	30	353	134	19
PTPN12+ZBTB25	double	PTPN12	ZBTB25	253	27	38	35	34	31	25	35	28	353	583	25
PTPN9+UBASH3B	double	PTPN9	UBASH3B	278	38	33	37	32	43	29	39	27	358	968	27
RHOXF2+SET	double	RHOXF2	SET	259	21	33	41	32	35	32	25	40	280	777	21
RHOXF2+ZBTB25	double	RHOXF2	ZBTB25	203	23	36	27	22	17	23	25	30	280	583	17
S1PR2+SGK1	double	S1PR2	SGK1	303	40	48	37	34	38	35	37	34	438	434	34
SAMD1+TGFBR2	double	SAMD1	TGFBR2	57	10	7	7	5	5	10	6	7	415	530	5
SAMD1+UBASH3B	double	SAMD1	UBASH3B	197	29	24	21	21	19	26	25	32	415	968	19
SAMD1+ZBTB1	double	SAMD1	ZBTB1	153	20	15	22	19	16	16	23	22	415	589	15
SGK1+TBX2	double	SGK1	TBX2	277	39	44	24	36	28	29	43	34	434	554	24
SGK1+TBX3	double	SGK1	TBX3	240	28	25	34	33	28	35	29	28	434	553	25
SNAI1+UBASH3B	double	SNAI1	UBASH3B	249	44	33	25	40	23	29	26	29	372	968	23
SNAI1+ZBTB10	double	SNAI1	ZBTB10	81	6	16	14	12	7	8	10	8	372	134	6
TBX2+TBX3	double	TBX2	TBX3	942	121	112	104	119	110	134	133	109	554	553	104
UBASH3A+UBASH3B	double	UBASH3A	UBASH3B	421	71	44	63	51	43	42	51	56	671	968	42
UBASH3B+ZBTB25	double	UBASH3B	ZBTB25	224	35	33	33	16	27	33	26	21	968	583	16
